Inscription_ID,Site,Context,Type,Phonetic_Reading,Accumulated_Frequency_Hz,Musical_Note,Dominant_Chakra,Function_Interpretation,Harmonic_Quality,Key_Signature,Individual_Frequencies,Chakra_Distribution
KH 5,Khania,palatial,royal_blessing,SU-KU-I-RA-I-TA-A,187.5,F#2,third_eye,"Wisdom, intuition, spiritual insight, foresight - Divine authority activation through sound",mixed,E major,189.33; 97.09; 221.23; 140.28; 221.23; 102.07; 341.3,"{'solar': 1, 'root': 1, 'third_eye': 2, 'sacral': 1, 'throat': 1, 'heart': 1}"
KH 7,Khania,palatial,palace_dedication,PA-A-I-TA-O,208.67,G#2,sacral,"Creativity, fertility, emotional flow, relationships - General ritual application",mixed,F major,168.34; 341.3; 221.23; 102.07; 210.42,"{'sacral': 2, 'heart': 1, 'third_eye': 1, 'throat': 1}"
KH 12,Khania,palatial,royal_authority,TA-E-I-A-RA-E,179.51,F2,throat,"Communication, truth, expression, clarity - General ritual application",mixed,E major,102.07; 136.1; 221.23; 341.3; 140.28; 136.1,"{'throat': 3, 'third_eye': 1, 'heart': 1, 'sacral': 1}"
KH 15,Khania,palatial,marine_blessing,MA-A-RA-I-NA-E-U,212.14,G#2,heart,"Love, compassion, harmony, emotional balance - General ritual application",mixed,F major,284.42; 341.3; 140.28; 221.23; 189.63; 136.1; 172.06,"{'heart': 2, 'sacral': 1, 'third_eye': 2, 'throat': 1, 'crown': 1}"
ZA 8,Zakros,port_trade,trade_blessing,KU-PA-A-NA-U,193.68,G2,root,"Grounding, material stability, physical manifestation - Commercial protection through frequency alignment",mixed,F major,97.09; 168.34; 341.3; 189.63; 172.06,"{'root': 1, 'sacral': 1, 'heart': 1, 'third_eye': 1, 'crown': 1}"
ZA 10,Zakros,port_trade,merchant_protection,MA-I-NA-U-TA-E,184.25,F#2,third_eye,"Wisdom, intuition, spiritual insight, foresight - General ritual application",mixed,E major,284.42; 221.23; 189.63; 172.06; 102.07; 136.1,"{'heart': 1, 'third_eye': 2, 'crown': 1, 'throat': 2}"
ZA 15,Zakros,port_trade,harbor_ritual,KA-A-RA-A-KA-I-NA-U,200.0,G2,root,"Grounding, material stability, physical manifestation - General ritual application",mixed,F major,97.09; 341.3; 140.28; 341.3; 97.09; 221.23; 189.63; 172.06,"{'root': 2, 'heart': 2, 'sacral': 1, 'third_eye': 2, 'crown': 1}"
ZA 20,Zakros,port_trade,sea_goddess,MA-I-RA-A-TA-I-A,235.98,A#3,heart,"Love, compassion, harmony, emotional balance - General ritual application",mixed,G major,284.42; 221.23; 140.28; 341.3; 102.07; 221.23; 341.3,"{'heart': 3, 'third_eye': 2, 'sacral': 1, 'throat': 1}"
ARKH 1,Arkhanes,rural,harvest_blessing,I-A-SA-A-SA-A-RA-A-MA-E,252.59,B3,heart,"Love, compassion, harmony, emotional balance - Agricultural abundance through earth frequencies",mixed,A major,221.23; 341.3; 189.33; 341.3; 189.33; 341.3; 140.28; 341.3; 284.42; 136.1,"{'third_eye': 1, 'heart': 5, 'solar': 2, 'sacral': 1, 'throat': 1}"
ARKH 3,Arkhanes,rural,fertility_ritual,DE-A-MA-A-TA-E,215.99,A3,throat,"Communication, truth, expression, clarity - General ritual application",mixed,F major,90.73; 341.3; 284.42; 341.3; 102.07; 136.1,"{'throat': 3, 'heart': 3}"
HT 85,Hagia Triada,religious,dawn_ceremony,DE-A-SU-E-DE-A,198.25,G2,throat,"Communication, truth, expression, clarity - General ritual application",mixed,F major,90.73; 341.3; 189.33; 136.1; 90.73; 341.3,"{'throat': 3, 'heart': 2, 'solar': 1}"
HT 102,Hagia Triada,administrative,vessel_blessing,KU-PA-A-NA-U-RA-E,177.83,F2,sacral,"Creativity, fertility, emotional flow, relationships - General ritual application",mixed,E major,97.09; 168.34; 341.3; 189.63; 172.06; 140.28; 136.1,"{'root': 1, 'sacral': 2, 'heart': 1, 'third_eye': 1, 'crown': 1, 'throat': 1}"
PH 2,Phaistos,religious,bull_ceremony,PA-O-TA-O-KU-RA-O,162.72,E2,sacral,"Creativity, fertility, emotional flow, relationships - General ritual application",mixed,D major,168.34; 210.42; 102.07; 210.42; 97.09; 140.28; 210.42,"{'sacral': 5, 'throat': 1, 'root': 1}"
KH 8,Khania,palatial,royal_seal,KA-A-PA-A,237.01,A#3,heart,"Love, compassion, harmony, emotional balance - General ritual application",mixed,G major,97.09; 341.3; 168.34; 341.3,"{'root': 1, 'heart': 2, 'sacral': 1}"
ZA 11,Zakros,port_trade,ship_blessing,SU-U-PA-U-RA-A-I-A,218.24,A3,crown,"Divine connection, transcendence, highest consciousness - General ritual application",mixed,F major,189.33; 172.06; 168.34; 172.06; 140.28; 341.3; 221.23; 341.3,"{'solar': 1, 'crown': 2, 'sacral': 2, 'heart': 2, 'third_eye': 1}"
